game,combination,draw_date,jackpot_php,winners
4D Lotto,5-6-1-0,2/13/2017,10000.00,35
4D Lotto,5-6-6-5,2/15/2017,13821.00,63
4D Lotto,1-9-6-7,2/17/2017,10000.00,141
4D Lotto,7-1-1-8,2/20/2017,33601.00,17
4D Lotto,3-1-0-8,2/22/2017,12345.00,54
4D Lotto,6-9-3-4,2/24/2017,36309.00,29
4D Lotto,9-8-0-8,2/27/2017,21098.00,33
4D Lotto,7-4-8-2,3/1/2017,48213.00,23
4D Lotto,4-4-8-8,3/3/2017,21381.00,43
4D Lotto,2-3-8-5,3/6/2017,74964.00,14
4D Lotto,3-4-3-0,3/8/2017,54781.00,12
4D Lotto,1-9-6-8,3/10/2017,10000.00,211
4D Lotto,4-9-6-4,3/13/2017,23640.00,37
4D Lotto,5-0-8-7,3/15/2017,113156.00,9
4D Lotto,8-2-0-0,3/17/2017,50868.00,16
4D Lotto,0-8-1-5,3/20/2017,10000.00,99
4D Lotto,7-3-4-4,3/22/2017,20506.00,41
4D Lotto,0-9-2-3,3/24/2017,10000.00,108
4D Lotto,2-0-3-2,3/27/2017,30807.00,33
4D Lotto,7-1-8-5,3/29/2017,69042.00,14
4D Lotto,7-6-6-4,3/31/2017,58466.00,17
4D Lotto,6-3-0-5,4/3/2017,97003.00,9
4D Lotto,6-4-8-0,4/5/2017,42900.00,23
4D Lotto,7-4-0-7,4/7/2017,57314.00,15
4D Lotto,8-9-5-1,4/10/2017,46599.00,19
4D Lotto,0-6-0-8,4/12/2017,16304.00,47
4D Lotto,0-2-8-5,4/17/2017,84704.00,12
4D Lotto,5-6-3-0,4/19/2017,21933.00,23
4D Lotto,5-4-0-2,4/21/2017,14397.00,60
4D Lotto,3-1-8-0,4/24/2017,34403.00,27
4D Lotto,9-4-4-7,4/26/2017,47708.00,17
4D Lotto,7-7-7-6,4/28/2017,40043.00,23
4D Lotto,4-4-8-1,5/1/2017,68995.00,13
4D Lotto,2-2-1-4,5/3/2017,10000.00,73
4D Lotto,9-2-8-4,5/5/2017,55429.00,20
4D Lotto,5-8-5-4,5/8/2017,22099.00,42
4D Lotto,7-0-9-3,5/10/2017,45903.00,23
4D Lotto,4-2-2-0,5/12/2017,33351.00,17
4D Lotto,1-2-4-6,5/15/2017,15747.00,61
4D Lotto,2-3-5-0,5/17/2017,24979.00,33
4D Lotto,9-7-7-3,5/19/2017,107835.00,10
4D Lotto,3-5-9-2,5/22/2017,33359.00,31
4D Lotto,3-8-0-6,5/24/2017,65950.00,12
4D Lotto,4-1-1-5,5/26/2017,16307.00,33
4D Lotto,0-3-4-6,5/29/2017,73518.00,13
4D Lotto,6-8-7-2,5/31/2017,39254.00,24
4D Lotto,7-3-2-7,6/2/2017,29034.00,20
4D Lotto,5-1-7-2,6/5/2017,77763.00,12
4D Lotto,9-6-4-6,6/7/2017,70284.00,13
4D Lotto,5-5-6-9,6/9/2017,43202.00,17
4D Lotto,7-4-0-1,6/12/2017,104705.00,8
4D Lotto,8-3-7-9,6/14/2017,61992.00,15
4D Lotto,9-3-2-4,6/16/2017,20642.00,32
4D Lotto,8-4-2-4,6/19/2017,25029.00,25
4D Lotto,2-0-9-4,6/21/2017,39225.00,27
4D Lotto,0-9-3-9,6/23/2017,72594.00,14
4D Lotto,1-6-1-9,6/26/2017,10000.00,69
4D Lotto,4-9-9-2,6/28/2017,153705.00,6
4D Lotto,2-2-3-4,6/30/2017,33989.00,27
4D Lotto,8-8-0-4,7/3/2017,48992.00,19
4D Lotto,3-6-7-1,7/5/2017,38897.00,24
4D Lotto,6-3-1-3,7/7/2017,16587.00,29
4D Lotto,2-6-9-0,7/10/2017,34845.00,30
4D Lotto,7-7-2-7,7/12/2017,22052.00,20
4D Lotto,8-9-7-6,7/14/2017,14307.00,65
4D Lotto,5-4-1-4,7/17/2017,22724.00,27
4D Lotto,0-0-4-4,7/19/2017,25502.00,34
4D Lotto,0-9-0-4,7/21/2017,17586.00,51
4D Lotto,1-1-0-8,7/24/2017,10000.00,140
4D Lotto,5-4-1-2,7/26/2017,33771.00,18
4D Lotto,4-0-2-9,7/28/2017,14451.00,33
4D Lotto,4-3-3-7,7/31/2017,65906.00,14
4D Lotto,6-5-3-6,8/2/2017,37647.00,27
4D Lotto,7-4-2-1,8/4/2017,15785.00,45
4D Lotto,3-8-9-1,8/7/2017,25811.00,44
4D Lotto,8-9-8-1,8/9/2017,39588.00,24
4D Lotto,3-8-2-0,8/11/2017,27631.00,19
4D Lotto,1-4-2-7,8/14/2017,10000.00,110
4D Lotto,2-2-6-4,8/16/2017,21199.00,49
4D Lotto,3-4-2-1,8/18/2017,11335.00,54
4D Lotto,2-9-8-6,8/21/2017,103468.00,8
4D Lotto,1-6-2-4,8/23/2017,10000.00,95
4D Lotto,4-2-2-1,8/25/2017,14113.00,38
4D Lotto,2-5-5-9,8/28/2017,13960.00,60
4D Lotto,4-5-4-6,8/30/2017,19514.00,49
4D Lotto,9-3-7-0,9/1/2017,87511.00,11
4D Lotto,0-7-8-0,9/4/2017,65777.00,16
4D Lotto,0-5-4-4,9/6/2017,91315.00,10
4D Lotto,6-9-0-2,9/8/2017,43330.00,23
4D Lotto,7-1-6-1,9/11/2017,37006.00,25
4D Lotto,1-4-8-0,9/13/2017,38140.00,27
4D Lotto,0-8-2-8,9/15/2017,10000.00,144
4D Lotto,5-6-7-3,9/18/2017,59157.00,18
4D Lotto,0-9-4-8,9/20/2017,15809.00,49
4D Lotto,5-0-2-1,9/22/2017,11278.00,36
4D Lotto,2-5-6-0,9/25/2017,10353.00,99
4D Lotto,0-4-7-5,9/27/2017,48378.00,20
4D Lotto,3-3-8-3,9/29/2017,41758.00,27
4D Lotto,0-3-6-3,10/2/2017,73474.00,14
4D Lotto,8-6-4-6,10/4/2017,43009.00,23
4D Lotto,1-9-7-1,10/6/2017,10000.00,167
4D Lotto,4-4-4-1,10/9/2017,27058.00,37
4D Lotto,1-7-1-9,10/11/2017,10000.00,90
4D Lotto,4-7-9-4,10/13/2017,60414.00,19
4D Lotto,7-6-9-8,10/16/2017,45897.00,24
4D Lotto,0-3-1-0,10/18/2017,10000.00,91
4D Lotto,9-9-3-4,10/20/2017,180681.00,6
4D Lotto,2-1-6-7,10/23/2017,17025.00,57
4D Lotto,8-7-2-4,10/25/2017,19168.00,34
4D Lotto,1-8-9-8,10/27/2017,37564.00,29
4D Lotto,5-0-2-9,10/30/2017,11418.00,29
4D Lotto,8-3-4-6,11/1/2017,66756.00,10
4D Lotto,1-0-2-8,11/3/2017,10000.00,321
4D Lotto,6-5-7-2,11/6/2017,23447.00,40
4D Lotto,8-7-8-4,11/8/2017,44490.00,23
4D Lotto,5-3-6-1,11/10/2017,36449.00,30
4D Lotto,2-7-9-1,11/13/2017,28480.00,39
4D Lotto,2-5-0-4,11/15/2017,30766.00,31
4D Lotto,2-3-8-8,11/17/2017,30284.00,30
4D Lotto,5-5-2-5,11/20/2017,10000.00,56
4D Lotto,2-8-2-8,11/22/2017,10000.00,96
4D Lotto,2-5-9-7,11/24/2017,92196.00,13
4D Lotto,4-3-4-1,11/27/2017,52609.00,20
4D Lotto,9-7-2-1,11/29/2017,17563.00,39
4D Lotto,0-5-2-4,12/1/2017,10000.00,110
4D Lotto,6-3-7-6,12/4/2017,32883.00,34
4D Lotto,1-2-8-0,12/6/2017,10536.00,100
4D Lotto,8-2-0-6,12/8/2017,42537.00,19
4D Lotto,0-5-0-7,12/11/2017,25757.00,41
4D Lotto,9-1-5-3,12/13/2017,28797.00,33
4D Lotto,5-7-4-8,12/15/2017,42056.00,23
4D Lotto,1-1-1-4,12/18/2017,10000.00,147
4D Lotto,5-1-6-4,12/20/2017,48974.00,22
4D Lotto,5-4-7-1,12/22/2017,84910.00,13
4D Lotto,5-2-2-4,12/27/2017,14092.00,40
4D Lotto,6-3-1-7,12/29/2017,11190.00,44
4D Lotto,5-6-7-3,1/3/2018,64008.00,19
4D Lotto,7-0-5-9,1/5/2018,54564.00,19
4D Lotto,2-6-7-3,1/8/2018,60906.00,19
4D Lotto,1-5-9-9,1/10/2018,65938.00,16
4D Lotto,7-6-2-0,1/12/2018,45479.00,15
4D Lotto,1-5-7-6,1/15/2018,23814.00,47
4D Lotto,4-2-6-1,1/17/2018,31541.00,33
4D Lotto,4-1-9-3,1/19/2018,33114.00,34
4D Lotto,3-0-0-6,1/22/2018,25106.00,37
4D Lotto,6-4-8-0,1/24/2018,65578.00,15
4D Lotto,3-7-2-7,1/26/2018,10000.00,49
4D Lotto,8-8-5-9,1/29/2018,21153.00,41
4D Lotto,6-2-9-7,1/31/2018,67656.00,16
4D Lotto,0-2-7-2,2/2/2018,27345.00,33
4D Lotto,6-3-0-5,2/5/2018,56430.00,15
4D Lotto,4-2-2-2,2/7/2018,12348.00,45
4D Lotto,9-8-5-9,2/9/2018,54638.00,17
4D Lotto,8-3-7-1,2/12/2018,69089.00,13
4D Lotto,3-3-1-8,2/14/2018,12480.00,36
4D Lotto,6-2-1-2,2/16/2018,20021.00,22
4D Lotto,5-1-6-8,2/19/2018,19558.00,47
4D Lotto,4-1-6-5,2/21/2018,28355.00,33
